設定,變數,係數,穩健SE,t值,p值,顯著性,N
水回收率%｜低耗水｜t-1,WATER_RATE_l1,-5.084044613816799e-07,0.00031468609654020145,-0.001615592385463813,0.9987109443398569,,244
水回收率%｜低耗水｜t-2,dLNREV,0.5292960949621561,0.08681929900970456,6.096525784007909,1.0839847228080114e-09,***,204
水回收率%｜低耗水｜t-2,DEC_x_dREV,-0.28272565678617345,0.8567080676896971,-0.33001400062521385,0.7413893832517763,,204
水回收率%｜低耗水｜t-2,WATER_RATE_D_dREV_l2,-0.0010522400012278404,0.002936369455385683,-0.3583472778937594,0.7200834414005113,,204
水回收率%｜低耗水｜t-2,WATER_RATE_l2,-8.491754220299745e-05,0.00030104529456883336,-0.2820756335840394,0.7778855164842555,,204
水揭露｜全樣本｜t-0,dLNREV,0.3447501186759253,0.013282437213671852,25.95533584160803,1.582834076709594e-148,***,16661
水揭露｜全樣本｜t-0,DEC_x_dREV,-0.147322820427386,0.13495046602013192,-1.0916807090196219,0.27497346725296423,,16661
水揭露｜全樣本｜t-0,WATER_DISC_D_dREV,0.0354050513030003,0.03963909654663933,0.8931851224546136,0.37175804396607437,,16661
水揭露｜全樣本｜t-0,WATER_DISC,0.005206448347800165,0.004058493257126046,1.2828525312093346,0.1995437459721302,,16661
水揭露｜全樣本｜t-1,dLNREV,0.34465239420608224,0.01327156544759223,25.969234418281093,1.102791165081328e-148,***,16661
水揭露｜全樣本｜t-1,DEC_x_dREV,-0.1636372911908966,0.1378464766740188,-1.1870981046390343,0.23518892588725526,,16661
水揭露｜全樣本｜t-1,WATER_DISC_D_dREV_l1,0.006223064765283577,0.03507180858166315,0.1774378059458624,0.8591645135751702,,16661
水揭露｜全樣本｜t-1,WATER_DISC_l1,0.0027091929179875645,0.0036976476867423454,0.7326801111152867,0.4637535572618512,,16661
水揭露｜全樣本｜t-2,dLNREV,0.34461102988989945,0.013278849954380103,25.95187317228685,1.731899415421477e-148,***,16661
水揭露｜全樣本｜t-2,DEC_x_dREV,-0.15880856733970078,0.1378513744925766,-1.1520274493037628,0.24930979388816177,,16661
水揭露｜全樣本｜t-2,WATER_DISC_D_dREV_l2,0.010320331687629773,0.03691591656631422,0.27956319787132355,0.7798126454619198,,16661
水揭露｜全樣本｜t-2,WATER_DISC_l2,0.0020447691331552356,0.003906571133716511,0.5234178677836969,0.6006834927417801,,16661
水揭露｜高耗水｜t-0,dLNREV,0.37123563449753616,0.03167687146441746,11.719453889710797,1.0132304632164057e-31,***,7252
水揭露｜高耗水｜t-0,DEC_x_dREV,-0.06341070878863148,0.2751466824884624,-0.2304614695519378,0.8177332005335975,,7252
水揭露｜高耗水｜t-0,WATER_DISC_D_dREV,0.057178349514246024,0.0568766379147849,1.0053046665647354,0.3147501687391566,,7252
水揭露｜高耗水｜t-0,WATER_DISC,0.006015596880926469,0.004979628751458815,1.2080412378461265,0.22703140063469618,,7252
水揭露｜高耗水｜t-1,dLNREV,0.37119593915503335,0.031637186544191495,11.73289978350442,8.644552170480915e-32,***,7252
水揭露｜高耗水｜t-1,DEC_x_dREV,-0.1013028057294236,0.2821422808671521,-0.3590486523964923,0.7195586932157354,,7252
水揭露｜高耗水｜t-1,WATER_DISC_D_dREV_l1,0.024807463245364855,0.052269968729185566,0.4746026035311804,0.6350702502063252,,7252
