模型,類型,遞延期,Water_Var,變數,角色,係數,穩健SE,t值,p值,顯著性,N,公司數,adj_R2
模型4 廢棄物揭露 L1(t-1),廢棄物次分析,1,WasteDisc_l1,D_x_dREV,β2(黏性),-0.15691046838126496,0.14456321460516242,-1.0854107582611934,0.2777397696237477,,12437,1720,0.33279161597336815
模型4 廢棄物揭露 L1(t-1),廢棄物次分析,1,WasteDisc_l1,WasteDisc_D_dREV_l1,β3(三重交乘),-0.0015967215078594177,0.012939012927014224,-0.12340365659004511,0.9017874616670148,,12437,1720,0.33279161597336815
模型4 廢棄物揭露 L1(t-1),廢棄物次分析,1,WasteDisc_l1,WasteDisc_l1,β4(水主效果),0.0003932953099411306,0.001365746373726565,0.2879709714095656,0.7733689593173814,,12437,1720,0.33279161597336815
模型4 廢棄物揭露 L1(t-1),廢棄物次分析,1,WasteDisc_l1,Size_D_dREV,控制交乘,0.010230399821089007,0.009728348853795947,1.0516070069893888,0.2929798916525831,,12437,1720,0.33279161597336815
模型4 廢棄物揭露 L1(t-1),廢棄物次分析,1,WasteDisc_l1,AI_D_dREV,控制交乘,-0.005167496225432093,0.0010973048675541259,-4.709262100468355,2.4861520454600876e-06,***,12437,1720,0.33279161597336815
模型4 廢棄物揭露 L1(t-1),廢棄物次分析,1,WasteDisc_l1,EI_D_dREV,控制交乘,13.668371633162602,44.49130281699103,0.3072144614282392,0.7586801388136479,,12437,1720,0.33279161597336815
模型4 廢棄物揭露 L1(t-1),廢棄物次分析,1,WasteDisc_l1,ROA_D_dREV,控制交乘,0.015389693374553873,0.0034839571466425017,4.417302718371539,9.99402167113663e-06,***,12437,1720,0.33279161597336815
模型4 廢棄物揭露 L1(t-1),廢棄物次分析,1,WasteDisc_l1,Lev_D_dREV,控制交乘,0.00029731804557736396,0.000544094026334508,0.5464460758379533,0.5847593452266073,,12437,1720,0.33279161597336815
模型4 廢棄物揭露 L1(t-1),廢棄物次分析,1,WasteDisc_l1,Decrease_D_dREV,控制交乘,0.06971890985641703,0.01994322908485932,3.4958686760183113,0.0004725211912320222,***,12437,1720,0.33279161597336815
模型4 廢棄物揭露 L2(t-2),廢棄物次分析,2,WasteDisc_l2,dLNREV,β1,0.3433395794608712,0.014742040269293325,23.289827811420672,5.621104590463246e-120,***,10907,1708,0.3391860783389079
模型4 廢棄物揭露 L2(t-2),廢棄物次分析,2,WasteDisc_l2,D_x_dREV,β2(黏性),-0.1927371688515004,0.1460223537743324,-1.3199155051928733,0.186863230186467,,10907,1708,0.3391860783389079
模型4 廢棄物揭露 L2(t-2),廢棄物次分析,2,WasteDisc_l2,WasteDisc_D_dREV_l2,β3(三重交乘),0.0038656274147487336,0.015318404134874411,0.25235183643889586,0.8007691245499133,,10907,1708,0.3391860783389079
模型4 廢棄物揭露 L2(t-2),廢棄物次分析,2,WasteDisc_l2,WasteDisc_l2,β4(水主效果),-0.0010680660534725316,0.0017168787943864288,-0.6220975277723275,0.5338777404974739,,10907,1708,0.3391860783389079
模型4 廢棄物揭露 L2(t-2),廢棄物次分析,2,WasteDisc_l2,Size_D_dREV,控制交乘,0.012435496204309799,0.009695840360996197,1.2825599165529284,0.19964630080381807,,10907,1708,0.3391860783389079
模型4 廢棄物揭露 L2(t-2),廢棄物次分析,2,WasteDisc_l2,AI_D_dREV,控制交乘,-0.005744141947853099,0.00114021813076777,-5.03775706845256,4.71018725138787e-07,***,10907,1708,0.3391860783389079
模型4 廢棄物揭露 L2(t-2),廢棄物次分析,2,WasteDisc_l2,EI_D_dREV,控制交乘,32.15039357873897,45.28455134079413,0.7099638315236352,0.47772656528412005,,10907,1708,0.3391860783389079
模型4 廢棄物揭露 L2(t-2),廢棄物次分析,2,WasteDisc_l2,ROA_D_dREV,控制交乘,0.015058739020748552,0.0032475683763479885,4.636927471772792,3.5362642584528967e-06,***,10907,1708,0.3391860783389079
模型4 廢棄物揭露 L2(t-2),廢棄物次分析,2,WasteDisc_l2,Lev_D_dREV,控制交乘,0.0004760020301255324,0.0005495024062556852,0.8662419394466621,0.3863574986191013,,10907,1708,0.3391860783389079
模型4 廢棄物揭露 L2(t-2),廢棄物次分析,2,WasteDisc_l2,Decrease_D_dREV,控制交乘,0.05720286666469156,0.021525018451690157,2.657506045491912,0.00787211785371357,***,10907,1708,0.3391860783389079
模型5 廢棄物罰鍰 L0(當期),廢棄物穩健,0,Waste_Fine,dLNREV,β1,0.39629217622257557,0.024817321417800645,15.968370218162557,2.1225990775766075e-57,***,3894,906,0.38244963880130367
模型5 廢棄物罰鍰 L0(當期),廢棄物穩健,0,Waste_Fine,D_x_dREV,β2(黏性),-0.07025840638133873,0.2777059478148136,-0.2529956845871738,0.8002715479470947,,3894,906,0.38244963880130367
模型5 廢棄物罰鍰 L0(當期),廢棄物穩健,0,Waste_Fine,WasteFine_D_dREV,β3(三重交乘),-0.0019709042091307144,0.0013357257051729867,-1.4755306433782132,0.14006993608406368,,3894,906,0.38244963880130367
模型5 廢棄物罰鍰 L0(當期),廢棄物穩健,0,Waste_Fine,Waste_Fine,β4(水主效果),-0.0002422546550975335,0.0004324893326330037,-0.5601401857074307,0.5753838219612343,,3894,906,0.38244963880130367
模型5 廢棄物罰鍰 L0(當期),廢棄物穩健,0,Waste_Fine,Size_D_dREV,控制交乘,0.006936769273899989,0.016210704533418392,0.42791288062772526,0.6687145489695672,,3894,906,0.38244963880130367
模型5 廢棄物罰鍰 L0(當期),廢棄物穩健,0,Waste_Fine,AI_D_dREV,控制交乘,-0.005481261353272829,0.0020259288299604924,-2.705554742206674,0.006819040814937646,***,3894,906,0.38244963880130367
模型5 廢棄物罰鍰 L0(當期),廢棄物穩健,0,Waste_Fine,EI_D_dREV,控制交乘,10.578292200858836,82.53428801938882,0.12816845525309192,0.8980156632049981,,3894,906,0.38244963880130367
模型5 廢棄物罰鍰 L0(當期),廢棄物穩健,0,Waste_Fine,ROA_D_dREV,控制交乘,0.020476808815797276,0.00720553753894579,2.841815576578503,0.004485743215137192,***,3894,906,0.38244963880130367
模型5 廢棄物罰鍰 L0(當期),廢棄物穩健,0,Waste_Fine,Lev_D_dREV,控制交乘,-0.0008789904184551027,0.0010268108286539104,-0.8560392955802855,0.39197604418421106,,3894,906,0.38244963880130367
模型5 廢棄物罰鍰 L0(當期),廢棄物穩健,0,Waste_Fine,Decrease_D_dREV,控制交乘,0.07838103039189345,0.04078483572060127,1.9218179749171225,0.054628665749114826,*,3894,906,0.38244963880130367
模型5 廢棄物罰鍰 L1(t-1),廢棄物穩健,1,WasteFine_l1,dLNREV,β1,0.3976884167583929,0.024358902624664346,16.32620413514514,6.42601698971532e-60,***,3849,897,0.36433222033781965
模型5 廢棄物罰鍰 L1(t-1),廢棄物穩健,1,WasteFine_l1,D_x_dREV,β2(黏性),-0.32047106252089225,0.26066277596059656,-1.2294469793007066,0.2189042654135257,,3849,897,0.36433222033781965
模型5 廢棄物罰鍰 L1(t-1),廢棄物穩健,1,WasteFine_l1,WasteFine_D_dREV_l1,β3(三重交乘),-0.0026304341860162324,0.0019764642108827586,-1.3308787336156154,0.18322891580645218,,3849,897,0.36433222033781965
模型5 廢棄物罰鍰 L1(t-1),廢棄物穩健,1,WasteFine_l1,WasteFine_l1,β4(水主效果),-1.27848403670729e-05,0.00015432505860649539,-0.08284358018403369,0.9339759162270533,,3849,897,0.36433222033781965
模型5 廢棄物罰鍰 L1(t-1),廢棄物穩健,1,WasteFine_l1,Size_D_dREV,控制交乘,0.021739330951884427,0.016137927777685242,1.3470955658845207,0.1779494560503483,,3849,897,0.36433222033781965
模型5 廢棄物罰鍰 L1(t-1),廢棄物穩健,1,WasteFine_l1,AI_D_dREV,控制交乘,-0.004545076193100102,0.0022983322614027464,-1.9775540157653686,0.04797904118906223,**,3849,897,0.36433222033781965
模型5 廢棄物罰鍰 L1(t-1),廢棄物穩健,1,WasteFine_l1,EI_D_dREV,控制交乘,95.41602287593713,89.35652407931363,1.0678126063995623,0.2856050503702582,,3849,897,0.36433222033781965
